strain,rep,treat.env,treat.bio,mixID,dilution,AA.mM,sucrose,timepoint,count,exp,validity,notes
Mk,1,constant,comp,Mg.Mk,20,2.105,10,48,2616,comp2,YES,
Mg,2,constant,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,20,2.105,10,48,2096,comp2,YES,
Mg,3,constant,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,20,2.105,10,48,1712,comp2,YES,
Mg,4,constant,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,4,constant,comp,Mg.Mk,20,2.105,10,48,2032,comp2,YES,
Mg,1,constant,comp,Mg.Mk,20,2.105,30,48,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,20,2.105,30,48,6416,comp2,YES,
Mg,2,constant,comp,Mg.Mk,20,2.105,30,48,0,comp2,YES,contamination
Mk,2,constant,comp,Mg.Mk,20,2.105,30,48,5552,comp2,YES,contamination
Mg,3,constant,comp,Mg.Mk,20,2.105,30,48,0,comp2,YES,contamination
Mk,3,constant,comp,Mg.Mk,20,2.105,30,48,7152,comp2,YES,contamination
Mg,4,constant,comp,Mg.Mk,20,2.105,30,48,0,comp2,YES,
Mk,4,constant,comp,Mg.Mk,20,2.105,30,48,5264,comp2,YES,
Mg,1,constant,comp,Mg.Mk,20,2.105,50,48,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,20,2.105,50,48,2272,comp2,YES,
Mg,2,constant,comp,Mg.Mk,20,2.105,50,48,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,20,2.105,50,48,3808,comp2,YES,
Mg,3,constant,comp,Mg.Mk,20,2.105,50,48,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,20,2.105,50,48,3040,comp2,YES,
Mg,4,constant,comp,Mg.Mk,20,2.105,50,48,,comp2,NO,no inoculum
Mk,4,constant,comp,Mg.Mk,20,2.105,50,48,,comp2,NO,no inoculum
Mr,1,constant,comp,Mr.Mg,20,2.105,10,48,304,comp2,YES,
Mg,1,constant,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,20,2.105,10,48,252,comp2,YES,
Mg,2,constant,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,20,2.105,10,48,280,comp2,YES,
Mg,3,constant,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,20,2.105,10,48,500,comp2,YES,
Mg,4,constant,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,1,constant,comp,Mr.Mg,20,2.105,30,48,1408,comp2,YES,
Mg,1,constant,comp,Mr.Mg,20,2.105,30,48,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,20,2.105,30,48,1456,comp2,YES,
Mg,2,constant,comp,Mr.Mg,20,2.105,30,48,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,20,2.105,30,48,1216,comp2,YES,
Mg,3,constant,comp,Mr.Mg,20,2.105,30,48,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,20,2.105,30,48,1536,comp2,YES,
Mg,4,constant,comp,Mr.Mg,20,2.105,30,48,0,comp2,YES,
Mr,1,constant,comp,Mr.Mg,20,2.105,50,48,1392,comp2,YES,
Mg,1,constant,comp,Mr.Mg,20,2.105,50,48,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,20,2.105,50,48,1104,comp2,YES,
Mg,2,constant,comp,Mr.Mg,20,2.105,50,48,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,20,2.105,50,48,1616,comp2,YES,
Mg,3,constant,comp,Mr.Mg,20,2.105,50,48,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,20,2.105,50,48,1456,comp2,YES,
Mg,4,constant,comp,Mr.Mg,20,2.105,50,48,0,comp2,YES,
Sb,1,constant,comp,Mk.Sb,20,2.105,10,48,3,comp2,YES,
Mk,1,constant,comp,Mk.Sb,20,2.105,10,48,632,comp2,YES,
Sb,2,constant,comp,Mk.Sb,20,2.105,10,48,4,comp2,YES,
Mk,2,constant,comp,Mk.Sb,20,2.105,10,48,920,comp2,YES,
Sb,3,constant,comp,Mk.Sb,20,2.105,10,48,2,comp2,YES,
Mk,3,constant,comp,Mk.Sb,20,2.105,10,48,864,comp2,YES,
Sb,4,constant,comp,Mk.Sb,20,2.105,10,48,3,comp2,YES,
Mk,4,constant,comp,Mk.Sb,20,2.105,10,48,1264,comp2,YES,
Sb,1,constant,comp,Mk.Sb,20,2.105,30,48,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,20,2.105,30,48,3792,comp2,YES,
Sb,2,constant,comp,Mk.Sb,20,2.105,30,48,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,20,2.105,30,48,4496,comp2,YES,
Sb,3,constant,comp,Mk.Sb,20,2.105,30,48,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,20,2.105,30,48,5408,comp2,YES,
Sb,4,constant,comp,Mk.Sb,20,2.105,30,48,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,20,2.105,30,48,5744,comp2,YES,
Sb,1,constant,comp,Mk.Sb,20,2.105,50,48,2,comp2,YES,
Mk,1,constant,comp,Mk.Sb,20,2.105,50,48,1376,comp2,YES,
Sb,2,constant,comp,Mk.Sb,20,2.105,50,48,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,20,2.105,50,48,1664,comp2,YES,
Sb,3,constant,comp,Mk.Sb,20,2.105,50,48,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,20,2.105,50,48,1696,comp2,YES,
Sb,4,constant,comp,Mk.Sb,20,2.105,50,48,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,20,2.105,50,48,1552,comp2,YES,
Mr,1,variable,comp,Mr.Sb,20,2.105,10,48,396,comp2,YES,
Sb,1,variable,comp,Mr.Sb,20,2.105,10,48,52,comp2,YES,
Mr,2,variable,comp,Mr.Sb,20,2.105,10,48,756,comp2,YES,
Sb,2,variable,comp,Mr.Sb,20,2.105,10,48,68,comp2,YES,
Mr,3,variable,comp,Mr.Sb,20,2.105,10,48,660,comp2,YES,
Sb,3,variable,comp,Mr.Sb,20,2.105,10,48,56,comp2,YES,
Mr,4,variable,comp,Mr.Sb,20,2.105,10,48,596,comp2,YES,
Sb,4,variable,comp,Mr.Sb,20,2.105,10,48,36,comp2,YES,
Mg,1,variable,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,1,variable,comp,Mg.Mk,20,2.105,10,48,584,comp2,YES,
Mg,2,variable,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,2,variable,comp,Mg.Mk,20,2.105,10,48,592,comp2,YES,
Mg,3,variable,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,3,variable,comp,Mg.Mk,20,2.105,10,48,464,comp2,YES,
Mg,4,variable,comp,Mg.Mk,20,2.105,10,48,0,comp2,YES,
Mk,4,variable,comp,Mg.Mk,20,2.105,10,48,1000,comp2,YES,
Mr,1,variable,mono,Mr,20,2.105,10,48,652,comp2,YES,
Mr,2,variable,mono,Mr,20,2.105,10,48,616,comp2,YES,
Mr,3,variable,mono,Mr,20,2.105,10,48,608,comp2,YES,
Mr,4,variable,mono,Mr,20,2.105,10,48,608,comp2,YES,
Mr,1,variable,comp,Mr.Mg,20,2.105,10,48,296,comp2,YES,
Mg,1,variable,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,2,variable,comp,Mr.Mg,20,2.105,10,48,336,comp2,YES,
Mg,2,variable,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,3,variable,comp,Mr.Mg,20,2.105,10,48,256,comp2,YES,
Mg,3,variable,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mr,4,variable,comp,Mr.Mg,20,2.105,10,48,472,comp2,YES,
Mg,4,variable,comp,Mr.Mg,20,2.105,10,48,0,comp2,YES,
Mk,1,variable,comp,Mk.Sb,20,2.105,10,48,696,comp2,YES,
Sb,1,variable,comp,Mk.Sb,20,2.105,10,48,7,comp2,YES,
Mk,2,variable,comp,Mk.Sb,20,2.105,10,48,344,comp2,YES,
Sb,2,variable,comp,Mk.Sb,20,2.105,10,48,7,comp2,YES,
Mk,3,variable,comp,Mk.Sb,20,2.105,10,48,552,comp2,YES,
Sb,3,variable,comp,Mk.Sb,20,2.105,10,48,5,comp2,YES,
Mk,4,variable,comp,Mk.Sb,20,2.105,10,48,944,comp2,YES,
Sb,4,variable,comp,Mk.Sb,20,2.105,10,48,3,comp2,YES,
Mk,1,variable,mono,Mk,20,2.105,10,48,776,comp2,YES,
Mk,2,variable,mono,Mk,20,2.105,10,48,552,comp2,YES,
Mk,3,variable,mono,Mk,20,2.105,10,48,1968,comp2,YES,
Mk,4,variable,mono,Mk,20,2.105,10,48,1336,comp2,YES,
Mr,1,constant,comp,Mr.Sb,50,2.105,10,96,204,comp2,YES,
Sb,1,constant,comp,Mr.Sb,50,2.105,10,96,14,comp2,YES,
Mr,2,constant,comp,Mr.Sb,50,2.105,10,96,232,comp2,YES,
Sb,2,constant,comp,Mr.Sb,50,2.105,10,96,4,comp2,YES,
Mr,3,constant,comp,Mr.Sb,50,2.105,10,96,284,comp2,YES,
Sb,3,constant,comp,Mr.Sb,50,2.105,10,96,3,comp2,YES,
Mr,4,constant,comp,Mr.Sb,50,2.105,10,96,156,comp2,YES,
Sb,4,constant,comp,Mr.Sb,50,2.105,10,96,12,comp2,YES,
Mr,1,constant,comp,Mr.Sb,50,2.105,30,96,121,comp2,YES,
Sb,1,constant,comp,Mr.Sb,50,2.105,30,96,11,comp2,YES,
Mr,2,constant,comp,Mr.Sb,50,2.105,30,96,142,comp2,YES,
Sb,2,constant,comp,Mr.Sb,50,2.105,30,96,6,comp2,YES,
Mr,3,constant,comp,Mr.Sb,50,2.105,30,96,111,comp2,YES,
Sb,3,constant,comp,Mr.Sb,50,2.105,30,96,13,comp2,YES,
Mr,4,constant,comp,Mr.Sb,50,2.105,30,96,210,comp2,YES,
Sb,4,constant,comp,Mr.Sb,50,2.105,30,96,6,comp2,YES,
Mr,1,constant,comp,Mr.Sb,50,2.105,50,96,272,comp2,YES,
Sb,1,constant,comp,Mr.Sb,50,2.105,50,96,1,comp2,YES,
Mr,2,constant,comp,Mr.Sb,50,2.105,50,96,312,comp2,YES,
Sb,2,constant,comp,Mr.Sb,50,2.105,50,96,1,comp2,YES,
Mr,3,constant,comp,Mr.Sb,50,2.105,50,96,332,comp2,YES,
Sb,3,constant,comp,Mr.Sb,50,2.105,50,96,1,comp2,YES,
Mr,4,constant,comp,Mr.Sb,50,2.105,50,96,228,comp2,YES,
Sb,4,constant,comp,Mr.Sb,50,2.105,50,96,0,comp2,YES,
Mg,1,constant,comp,Mg.Mk,50,2.105,10,96,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,50,2.105,10,96,288,comp2,YES,
Mg,2,constant,comp,Mg.Mk,50,2.105,10,96,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,50,2.105,10,96,176,comp2,YES,
Mg,3,constant,comp,Mg.Mk,50,2.105,10,96,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,50,2.105,10,96,100,comp2,YES,
Mg,4,constant,comp,Mg.Mk,50,2.105,10,96,0,comp2,YES,
Mk,4,constant,comp,Mg.Mk,50,2.105,10,96,82,comp2,YES,
Mg,1,constant,comp,Mg.Mk,50,2.105,30,96,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,50,2.105,30,96,796,comp2,YES,
Mg,2,constant,comp,Mg.Mk,50,2.105,30,96,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,50,2.105,30,96,872,comp2,YES,
Mg,3,constant,comp,Mg.Mk,50,2.105,30,96,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,50,2.105,30,96,872,comp2,YES,
Mg,4,constant,comp,Mg.Mk,50,2.105,30,96,0,comp2,YES,
Mk,4,constant,comp,Mg.Mk,50,2.105,30,96,992,comp2,YES,
Mg,1,constant,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,50,2.105,50,96,592,comp2,YES,
Mg,2,constant,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,50,2.105,50,96,640,comp2,YES,
Mg,3,constant,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,50,2.105,50,96,704,comp2,YES,
Mg,4,constant,comp,Mg.Mk,50,2.105,50,96,,comp2,NO,
Mk,4,constant,comp,Mg.Mk,50,2.105,50,96,,comp2,NO,
Mr,1,constant,comp,Mr.Mg,50,2.105,10,96,120,comp2,YES,
Mg,1,constant,comp,Mr.Mg,50,2.105,10,96,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,50,2.105,10,96,164,comp2,YES,
Mg,2,constant,comp,Mr.Mg,50,2.105,10,96,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,50,2.105,10,96,138,comp2,YES,
Mg,3,constant,comp,Mr.Mg,50,2.105,10,96,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,50,2.105,10,96,106,comp2,YES,
Mg,4,constant,comp,Mr.Mg,50,2.105,10,96,0,comp2,YES,
Mr,1,constant,comp,Mr.Mg,50,2.105,30,96,128,comp2,YES,
Mg,1,constant,comp,Mr.Mg,50,2.105,30,96,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,50,2.105,30,96,156,comp2,YES,
Mg,2,constant,comp,Mr.Mg,50,2.105,30,96,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,50,2.105,30,96,168,comp2,YES,
Mg,3,constant,comp,Mr.Mg,50,2.105,30,96,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,50,2.105,30,96,166,comp2,YES,
Mg,4,constant,comp,Mr.Mg,50,2.105,30,96,0,comp2,YES,
Mr,1,constant,comp,Mr.Mg,50,2.105,50,96,288,comp2,YES,
Mg,1,constant,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,50,2.105,50,96,496,comp2,YES,
Mg,2,constant,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,50,2.105,50,96,276,comp2,YES,
Mg,3,constant,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,50,2.105,50,96,552,comp2,YES,
Mg,4,constant,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Sb,1,constant,comp,Mk.Sb,50,2.105,10,96,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,50,2.105,10,96,130,comp2,YES,
Sb,2,constant,comp,Mk.Sb,50,2.105,10,96,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,50,2.105,10,96,74,comp2,YES,
Sb,3,constant,comp,Mk.Sb,50,2.105,10,96,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,50,2.105,10,96,122,comp2,YES,
Sb,4,constant,comp,Mk.Sb,50,2.105,10,96,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,50,2.105,10,96,110,comp2,YES,
Sb,1,constant,comp,Mk.Sb,50,2.105,30,96,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,50,2.105,30,96,696,comp2,YES,
Sb,2,constant,comp,Mk.Sb,50,2.105,30,96,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,50,2.105,30,96,500,comp2,YES,
Sb,3,constant,comp,Mk.Sb,50,2.105,30,96,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,50,2.105,30,96,512,comp2,YES,
Sb,4,constant,comp,Mk.Sb,50,2.105,30,96,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,50,2.105,30,96,872,comp2,YES,
Sb,1,constant,comp,Mk.Sb,50,2.105,50,96,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,50,2.105,50,96,392,comp2,YES,
Sb,2,constant,comp,Mk.Sb,50,2.105,50,96,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,50,2.105,50,96,488,comp2,YES,
Sb,3,constant,comp,Mk.Sb,50,2.105,50,96,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,50,2.105,50,96,376,comp2,YES,
Sb,4,constant,comp,Mk.Sb,50,2.105,50,96,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,50,2.105,50,96,440,comp2,YES,
Mr,1,variable,comp,Mr.Sb,50,2.105,50,96,66,comp2,YES,
Sb,1,variable,comp,Mr.Sb,50,2.105,50,96,0,comp2,YES,
Mr,2,variable,comp,Mr.Sb,50,2.105,50,96,80,comp2,YES,
Sb,2,variable,comp,Mr.Sb,50,2.105,50,96,0,comp2,YES,
Mr,3,variable,comp,Mr.Sb,50,2.105,50,96,142,comp2,YES,
Sb,3,variable,comp,Mr.Sb,50,2.105,50,96,0,comp2,YES,
Mr,4,variable,comp,Mr.Sb,50,2.105,50,96,142,comp2,YES,
Sb,4,variable,comp,Mr.Sb,50,2.105,50,96,0,comp2,YES,
Mg,1,variable,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,1,variable,comp,Mg.Mk,50,2.105,50,96,48,comp2,YES,
Mg,2,variable,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,2,variable,comp,Mg.Mk,50,2.105,50,96,106,comp2,YES,
Mg,3,variable,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,3,variable,comp,Mg.Mk,50,2.105,50,96,41,comp2,YES,
Mg,4,variable,comp,Mg.Mk,50,2.105,50,96,0,comp2,YES,
Mk,4,variable,comp,Mg.Mk,50,2.105,50,96,108,comp2,YES,
Mr,1,variable,mono,Mr,50,2.105,50,96,80,comp2,YES,
Mr,2,variable,mono,Mr,50,2.105,50,96,107,comp2,YES,
Mr,3,variable,mono,Mr,50,2.105,50,96,98,comp2,YES,
Mr,4,variable,mono,Mr,50,2.105,50,96,117,comp2,YES,
Mr,1,variable,comp,Mr.Mg,50,2.105,50,96,164,comp2,YES,
Mg,1,variable,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mr,2,variable,comp,Mr.Mg,50,2.105,50,96,198,comp2,YES,
Mg,2,variable,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mr,3,variable,comp,Mr.Mg,50,2.105,50,96,128,comp2,YES,
Mg,3,variable,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mr,4,variable,comp,Mr.Mg,50,2.105,50,96,156,comp2,YES,
Mg,4,variable,comp,Mr.Mg,50,2.105,50,96,0,comp2,YES,
Mk,1,variable,comp,Mk.Sb,50,2.105,50,96,67,comp2,YES,
Sb,1,variable,comp,Mk.Sb,50,2.105,50,96,1,comp2,YES,
Mk,2,variable,comp,Mk.Sb,50,2.105,50,96,63,comp2,YES,
Sb,2,variable,comp,Mk.Sb,50,2.105,50,96,0,comp2,YES,
Mk,3,variable,comp,Mk.Sb,50,2.105,50,96,126,comp2,YES,
Sb,3,variable,comp,Mk.Sb,50,2.105,50,96,2,comp2,YES,
Mk,4,variable,comp,Mk.Sb,50,2.105,50,96,58,comp2,YES,
Sb,4,variable,comp,Mk.Sb,50,2.105,50,96,0,comp2,YES,
Mk,1,variable,mono,Mk,50,2.105,50,96,89,comp2,YES,
Mk,2,variable,mono,Mk,50,2.105,50,96,72,comp2,YES,
Mk,3,variable,mono,Mk,50,2.105,50,96,46,comp2,YES,
Mk,4,variable,mono,Mk,50,2.105,50,96,44,comp2,YES,
Mr,1,constant,comp,Mr.Sb,50,2.105,10,144,270,comp2,YES,
Sb,1,constant,comp,Mr.Sb,50,2.105,10,144,5,comp2,YES,
Mr,2,constant,comp,Mr.Sb,50,2.105,10,144,194,comp2,YES,
Sb,2,constant,comp,Mr.Sb,50,2.105,10,144,7,comp2,YES,
Mr,3,constant,comp,Mr.Sb,50,2.105,10,144,118,comp2,YES,
Sb,3,constant,comp,Mr.Sb,50,2.105,10,144,1,comp2,YES,
Mr,4,constant,comp,Mr.Sb,50,2.105,10,144,132,comp2,YES,
Sb,4,constant,comp,Mr.Sb,50,2.105,10,144,4,comp2,YES,
Mr,1,constant,comp,Mr.Sb,50,2.105,30,144,212,comp2,YES,
Sb,1,constant,comp,Mr.Sb,50,2.105,30,144,2,comp2,YES,
Mr,2,constant,comp,Mr.Sb,50,2.105,30,144,256,comp2,YES,
Sb,2,constant,comp,Mr.Sb,50,2.105,30,144,3,comp2,YES,
Mr,3,constant,comp,Mr.Sb,50,2.105,30,144,252,comp2,YES,
Sb,3,constant,comp,Mr.Sb,50,2.105,30,144,1,comp2,YES,
Mr,4,constant,comp,Mr.Sb,50,2.105,30,144,392,comp2,YES,
Sb,4,constant,comp,Mr.Sb,50,2.105,30,144,1,comp2,YES,
Mr,1,constant,comp,Mr.Sb,50,2.105,50,144,276,comp2,YES,
Sb,1,constant,comp,Mr.Sb,50,2.105,50,144,0,comp2,YES,
Mr,2,constant,comp,Mr.Sb,50,2.105,50,144,340,comp2,YES,
Sb,2,constant,comp,Mr.Sb,50,2.105,50,144,0,comp2,YES,
Mr,3,constant,comp,Mr.Sb,50,2.105,50,144,388,comp2,YES,
Sb,3,constant,comp,Mr.Sb,50,2.105,50,144,0,comp2,YES,
Mr,4,constant,comp,Mr.Sb,50,2.105,50,144,424,comp2,YES,
Sb,4,constant,comp,Mr.Sb,50,2.105,50,144,0,comp2,YES,
Mg,1,constant,comp,Mg.Mk,50,2.105,10,144,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,50,2.105,10,144,432,comp2,YES,
Mg,2,constant,comp,Mg.Mk,50,2.105,10,144,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,50,2.105,10,144,102,comp2,YES,
Mg,3,constant,comp,Mg.Mk,50,2.105,10,144,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,50,2.105,10,144,52,comp2,YES,
Mg,4,constant,comp,Mg.Mk,50,2.105,10,144,0,comp2,YES,
Mk,4,constant,comp,Mg.Mk,50,2.105,10,144,62,comp2,YES,
Mg,1,constant,comp,Mg.Mk,50,2.105,30,144,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,50,2.105,30,144,808,comp2,YES,
Mg,2,constant,comp,Mg.Mk,50,2.105,30,144,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,50,2.105,30,144,924,comp2,YES,
Mg,3,constant,comp,Mg.Mk,50,2.105,30,144,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,50,2.105,30,144,680,comp2,YES,
Mg,4,constant,comp,Mg.Mk,50,2.105,30,144,0,comp2,YES,
Mk,4,constant,comp,Mg.Mk,50,2.105,30,144,920,comp2,YES,
Mg,1,constant,comp,Mg.Mk,50,2.105,50,144,0,comp2,YES,
Mk,1,constant,comp,Mg.Mk,50,2.105,50,144,320,comp2,YES,
Mg,2,constant,comp,Mg.Mk,50,2.105,50,144,0,comp2,YES,
Mk,2,constant,comp,Mg.Mk,50,2.105,50,144,392,comp2,YES,
Mg,3,constant,comp,Mg.Mk,50,2.105,50,144,0,comp2,YES,
Mk,3,constant,comp,Mg.Mk,50,2.105,50,144,368,comp2,YES,
Mg,4,constant,comp,Mg.Mk,50,2.105,50,144,,comp2,NO,
Mk,4,constant,comp,Mg.Mk,50,2.105,50,144,,comp2,NO,
Mr,1,constant,comp,Mr.Mg,50,2.105,10,144,98,comp2,YES,
Mg,1,constant,comp,Mr.Mg,50,2.105,10,144,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,50,2.105,10,144,110,comp2,YES,
Mg,2,constant,comp,Mr.Mg,50,2.105,10,144,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,50,2.105,10,144,108,comp2,YES,
Mg,3,constant,comp,Mr.Mg,50,2.105,10,144,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,50,2.105,10,144,104,comp2,YES,
Mg,4,constant,comp,Mr.Mg,50,2.105,10,144,0,comp2,YES,
Mr,1,constant,comp,Mr.Mg,50,2.105,30,144,216,comp2,YES,
Mg,1,constant,comp,Mr.Mg,50,2.105,30,144,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,50,2.105,30,144,240,comp2,YES,
Mg,2,constant,comp,Mr.Mg,50,2.105,30,144,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,50,2.105,30,144,220,comp2,YES,
Mg,3,constant,comp,Mr.Mg,50,2.105,30,144,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,50,2.105,30,144,288,comp2,YES,
Mg,4,constant,comp,Mr.Mg,50,2.105,30,144,0,comp2,YES,
Mr,1,constant,comp,Mr.Mg,50,2.105,50,144,480,comp2,YES,
Mg,1,constant,comp,Mr.Mg,50,2.105,50,144,0,comp2,YES,
Mr,2,constant,comp,Mr.Mg,50,2.105,50,144,212,comp2,YES,
Mg,2,constant,comp,Mr.Mg,50,2.105,50,144,0,comp2,YES,
Mr,3,constant,comp,Mr.Mg,50,2.105,50,144,184,comp2,YES,
Mg,3,constant,comp,Mr.Mg,50,2.105,50,144,0,comp2,YES,
Mr,4,constant,comp,Mr.Mg,50,2.105,50,144,224,comp2,YES,
Mg,4,constant,comp,Mr.Mg,50,2.105,50,144,0,comp2,YES,
Sb,1,constant,comp,Mk.Sb,50,2.105,10,144,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,50,2.105,10,144,78,comp2,YES,
Sb,2,constant,comp,Mk.Sb,50,2.105,10,144,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,50,2.105,10,144,38,comp2,YES,
Sb,3,constant,comp,Mk.Sb,50,2.105,10,144,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,50,2.105,10,144,70,comp2,YES,
Sb,4,constant,comp,Mk.Sb,50,2.105,10,144,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,50,2.105,10,144,82,comp2,YES,
Sb,1,constant,comp,Mk.Sb,50,2.105,30,144,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,50,2.105,30,144,984,comp2,YES,
Sb,2,constant,comp,Mk.Sb,50,2.105,30,144,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,50,2.105,30,144,1104,comp2,YES,
Sb,3,constant,comp,Mk.Sb,50,2.105,30,144,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,50,2.105,30,144,1056,comp2,YES,
Sb,4,constant,comp,Mk.Sb,50,2.105,30,144,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,50,2.105,30,144,760,comp2,YES,
Sb,1,constant,comp,Mk.Sb,50,2.105,50,144,0,comp2,YES,
Mk,1,constant,comp,Mk.Sb,50,2.105,50,144,180,comp2,YES,
Sb,2,constant,comp,Mk.Sb,50,2.105,50,144,0,comp2,YES,
Mk,2,constant,comp,Mk.Sb,50,2.105,50,144,168,comp2,YES,
Sb,3,constant,comp,Mk.Sb,50,2.105,50,144,0,comp2,YES,
Mk,3,constant,comp,Mk.Sb,50,2.105,50,144,436,comp2,YES,
Sb,4,constant,comp,Mk.Sb,50,2.105,50,144,0,comp2,YES,
Mk,4,constant,comp,Mk.Sb,50,2.105,50,144,244,comp2,YES,
Mr,1,variable,comp,Mr.Sb,50,2.105,10,144,24,comp2,YES,
Sb,1,variable,comp,Mr.Sb,50,2.105,10,144,0,comp2,YES,
Mr,2,variable,comp,Mr.Sb,50,2.105,10,144,28,comp2,YES,
Sb,2,variable,comp,Mr.Sb,50,2.105,10,144,0,comp2,YES,
Mr,3,variable,comp,Mr.Sb,50,2.105,10,144,41,comp2,YES,
Sb,3,variable,comp,Mr.Sb,50,2.105,10,144,0,comp2,YES,
