plot,quadrant,ring_number,ring_gladwrap_wet_soil_g,glad_wrap_g,void_vol_cm3,ring_dry_soil_g,ring_g,ring_volume_cm3,wet_soil_mass_g,dry_soil_mass_g,soil_volume_cm3,grav_water_content_g_g,bulk_density_g_cm3,pH,EC_dS_m,K_mg_kg,P_mg_kg,NO3_N_mg_kg,NH4_N_mg_kg
6,S1,96,1997,5.8,23,1623,444,1038.56,1547.2,1179,1015.56,0.312298558,1.160935838,5.72,0.102,625,110.9,29.9,11
6,S2,65,2101,4.5,16,1783,424.5,1038.56,1672,1358.5,1022.56,0.230769231,1.328528399,5.72,0.101,447,199.3,19,11.5
6,S3,92,2065,4.4,33,1667,410.5,1026.48,1650.1,1256.5,993.48,0.313251094,1.264746145,6.07,0.071,295,111.9,11.3,10.6
6,S4,154,1973,5.7,45,1610,417.5,1038.56,1549.8,1192.5,993.56,0.299622642,1.200229478,6.17,0.059,188,66.7,3.3,12.3
7,S1,70,2104,4,12,1731,416,1026.48,1684,1315,1014.48,0.280608365,1.296230581,5.93,0.072,239,52.9,12.3,10.3
7,S2,43,2020,6,38,1660,419,1026.48,1595,1241,988.48,0.285253828,1.255462933,6.06,0.067,201,81.5,8.9,10.9
7,S3,26,2042,5.7,36,1751,423.5,1038.56,1612.8,1327.5,1002.56,0.214915254,1.324110278,6.22,0.051,168,78.4,2.7,10.1
7,S4,7,2106,4.4,30,1673,419.5,1038.56,1682.1,1253.5,1008.56,0.341922617,1.242861109,5.43,0.123,384,157.4,35.4,7.8
8,S1,133,1989,4.8,9,1650,420,1038.56,1564.2,1230,1029.56,0.271707317,1.194685108,6.06,0.045,291,73.2,2.2,8.8
8,S2,35,2067,5.2,3,1649,414.5,1038.56,1647.3,1234.5,1035.56,0.334386391,1.192108618,5.81,0.097,322,158.7,14.9,8.1
8,S3,39,2033,6.1,27,1723,419.5,1038.56,1607.4,1303.5,1011.56,0.233141542,1.288603741,6.28,0.051,190,65.4,2.5,9.1
8,S4,109,2003,5,31,1722,443,1038.56,1555,1279,1007.56,0.215793589,1.269403311,6.02,0.052,157,69.6,4.7,7.7
9,S1,115,1933,7,60,1586,421,1038.56,1505,1165,978.56,0.291845494,1.190524853,5.7,0.09,417,114.9,15.4,9.5
9,S2,118,1991,4.5,29,1622,418,1038.56,1568.5,1204,1009.56,0.302740864,1.192598756,5.91,0.066,439,86.9,8.2,8.3
9,S3,50,2033,4.8,56,1676,424.5,1038.56,1603.7,1251.5,982.56,0.281422293,1.273713565,6.02,0.079,496,100.9,10.8,9.9
9,S4,1,2111,4.4,4,1702,420,1038.56,1686.6,1282,1034.56,0.315600624,1.239174142,5.72,0.11,560,157.4,27.1,9.1
10,S1,74,1930,5.6,48,1614,414,1038.56,1510.4,1200,990.56,0.258666667,1.211435955,5.8,0.091,564,147.5,21.5,9.5
10,S2,17,2070,5.4,22,1753,419.5,1038.56,1645.1,1333.5,1016.56,0.233670791,1.311776973,5.96,0.065,571,119.7,6.5,8.8
10,S3,103,2072,5.7,2,1689,444,1038.56,1622.3,1245,1036.56,0.303052209,1.201088215,5.87,0.099,361,116.9,12.1,10.4
10,S4,130,2072,5.7,50,1675,418.5,1038.56,1647.8,1256.5,988.56,0.311420613,1.271040706,6.12,0.05,341,52,3.5,8.4
11,S1,93,1815,4.6,38,1534,412.5,1026.48,1397.9,1121.5,988.48,0.24645564,1.134570249,5.84,0.091,518,99.8,8.3,8.2
11,S2,46,1829,6.7,61,1516,421,1038.56,1401.3,1095,977.56,0.279726027,1.120135848,5.66,0.085,754,118.5,7.9,7.6
11,S3,101,1933,6.7,11,1584,421,1038.56,1505.3,1163,1027.56,0.294325021,1.131807388,5.75,0.094,1066,153.4,10.7,8.4
11,S4,48,1906,6,20,1613,420,1038.56,1480,1193,1018.56,0.240569992,1.171261389,5.9,0.101,1150,129.8,18.3,6.3
12,S1,123,1855,7.6,37,1554,420.5,1038.56,1426.9,1133.5,1001.56,0.258844288,1.131734494,5.79,0.09,1154,158.6,12.6,7.9
12,S2,97,1781,5.3,89,1466,413.5,1038.56,1362.2,1052.5,949.56,0.294251781,1.108408105,6,0.105,1219,162,15.6,6.8
12,S3,141,1948,6.1,31,1597,423,1038.56,1518.9,1174,1007.56,0.293781942,1.165191155,5.64,0.068,1268,143.8,4.4,7.3
12,S4,77,1811,5.2,44,1542,415,1038.56,1390.8,1127,994.56,0.23407276,1.133164414,5.77,0.078,1024,90.3,6.8,6.5
13,S1,128,1911,6.7,112,1613,403,966.1,1501.3,1210,854.1,0.240743802,1.416695937,6.13,0.061,1073,96.8,6.9,6.9
13,S2,67,2154,5.1,24,1757,417,1038.56,1731.9,1340,1014.56,0.292462687,1.320769595,6.08,0.084,1267,105.2,7.2,8.4
13,S3,15,2021,7.1,28,1691,421,1038.56,1592.9,1270,1010.56,0.254251969,1.256728942,5.92,0.092,1198,126.9,10.6,8.9
13,S4,27,2053,8.3,50,1756,424.5,1038.56,1620.2,1331.5,988.56,0.216823132,1.346908635,6.08,0.081,1015,153.4,2.8,11.7
14,S1,139,1805,7,183,1516,405,966.1,1393,1111,783.1,0.253825383,1.41872047,5.87,0.084,1248,121.7,12.5,6.5
14,S2,146,1931,8,112,1649,418.5,1038.56,1504.5,1230.5,926.56,0.22267371,1.328030565,6.03,0.055,1187,93.8,5.7,7.2
