plot,x,y,species_map_code,height_cm_when_mapped,notes_when_mapped,alive_first_monitor,height_cm_first_monitor,notes_first_monitor,plant_elevation
1,8.25,6.75,ALEX,7,,1,73,,5.719999
1,8.25,8.25,TRTO,11,,1,133,,5.757999
1,8.25,9.75,FIVI,44,,1,76,,5.736
1,8.25,11.25,GUSE,24,,1,37,,5.644999
1,8.25,12.75,GLFE,9,,1,24,,5.624
1,8.25,14.25,TOCI,9,,0,NA,,5.651999
1,8.25,15.75,FIVI,37,,1,54,,5.617
1,8.25,17.25,TRTO,19,,1,156,,5.619999
1,8.25,18.75,JAPS,NA,,1,5,,5.573999
1,8.25,20.25,TOCI,15,,1,48,,5.528999
1,8.25,21.75,SYFR,47,,1,54,,5.507999
1,8.25,23.25,JAPS,NA,,1,16,,5.524
1,8.25,24.75,JAPS,NA,,1,10,,5.534999
1,8.25,26.25,CRTR,24,,1,39,,5.597
1,8.25,27.75,ACLE,12,,1,152,,5.568999
1,8.25,29.25,CUAN,9,,1,42,,5.559
1,9.75,0.75,JAPS,NA,,1,14,,5.683
1,9.75,2.25,TRTO,20,,1,152,,5.683
1,9.75,3.75,DIFA,47,,1,54,,5.742
1,9.75,5.25,ALEX,9,,1,41,,5.725999
1,9.75,6.75,FIVI,60,,0,NA,,5.721
1,9.75,8.25,ACLE,11,,1,107,,5.695
1,9.75,9.75,ACLE,11,,1,76,,5.699999
1,9.75,11.25,JAPS,NA,,1,12,,5.640999
1,9.75,12.75,GUSE,13,,1,60,,5.605999
1,9.75,14.25,JAPS,NA,,1,15,,5.586999
1,9.75,15.75,FICO,16,,1,71,,5.574999
1,9.75,17.25,TOCI,15,,1,53,,5.543
1,9.75,18.75,TRTO,20,,1,123,,5.535999
1,9.75,20.25,GUSE,14,,1,23,,5.513
1,9.75,21.75,TOTE,55,,0,NA,,5.51
1,9.75,23.25,SYAU,10,,1,18,,5.534999
1,9.75,24.75,GLFE,8,,1,30,,5.526
1,9.75,26.25,TRTO,7,,0,NA,,5.502999
1,9.75,27.75,SYFR,55,,0,NA,,5.546
1,9.75,29.25,TRTO,15,,1,159,,5.527999
1,11.25,0.75,CRTR,22,,1,41,,5.772999
1,11.25,2.25,TOCI,13,,0,NA,,5.758999
1,11.25,3.75,ALEX,9,,1,68,,5.756
1,11.25,5.25,FICO,11,,1,45,,5.764999
1,11.25,6.75,SYAU,8,,1,45,,5.712999
1,11.25,8.25,FIVI,32,,1,75,,5.686999
1,11.25,9.75,FIVI,29,,1,51,,5.662
1,11.25,11.25,JAPS,NA,,1,10,,5.657
1,11.25,12.75,GLFE,13,,1,23,,5.664999
1,11.25,14.25,TOTE,48,,0,NA,,5.653999
1,11.25,15.75,ACLE,14,,1,146,,5.567999
1,11.25,17.25,GLFE,9,,0,NA,,5.512
1,11.25,18.75,GUSE,6,,0,NA,,5.502999
1,11.25,20.25,JAPS,NA,,1,10,,5.46
1,11.25,21.75,TOCI,15,,1,41,,5.526
1,11.25,23.25,JAPS,NA,,1,10,,5.479
1,11.25,24.75,SYAU,12,,1,62,,5.55
1,11.25,26.25,SYFR,40,,1,49,,5.511
1,11.25,27.75,TRTO,8,,1,167,,5.519
1,11.25,29.25,ACLE,16,,1,113,,5.567999
1,12.75,0.75,GLFE,7,,1,63,,5.781
1,12.75,2.25,FICO,11,,1,46,,5.742
1,12.75,3.75,GLFE,11,,0,NA,,5.757999
1,12.75,5.25,TRTO,17,,1,125,,5.729
1,12.75,6.75,SYAU,16,,1,45,,5.735
1,12.75,8.25,GUSE,11,,1,44,,5.659999
1,12.75,9.75,GUSE,5,,0,NA,,5.657
1,12.75,11.25,SYFR,21,,0,NA,,5.631999
1,12.75,12.75,GUSE,9,,1,44,,5.594999
